Index,ID,Name,Brand,Colours,Price($),Gender,Currency,Date
1,AVpe6YWKLJeJML43yIru,Westridge Oiled Suede Boot,Ralph Lauren,Dark BrownDark Brown,729.99,Men's,USD,2016-02-21
2,AVpfIoidilAPnD_xVsOh,Saint Laurent Men's Leather High Top Sneaker Shoes Silver/black,Saint Laurent,Silver,520.0,Men's,USD,2017-01-09
3,AVpfYMpY1cnluZ0-jsxG,Lucchese Landon Caiman Hornback Tail Boots,Lucchese,Brown,475.99,Men's,USD,2016-10-05
4,AVpfGXOdilAPnD_xU7eC,Kenetrek Men's Mountain Extreme Ni Boot Wide 9 Ke-420-ni-9w,Kenetrek,Multicolor,450.0,Men's,USD,2016-11-11
5,AVpfzCC01cnluZ0-rdrP,Dan Post Western Boots Mens 11 Flank Caiman Cowboy Brown Dp3853,Dan Post,Sunset,439.95,Men's,USD,2016-03-21
6,AVpfYyBeilAPnD_xa4jB,Nocona Texas Brown Cowhide Branded Men 2e Square Toe Leather Brown Western Boot,Nocona,Brown,415.99,Men's,USD,2016-10-04
7,AVpfERI1LJeJML431pdd,"Footjoy Icon Golf Shoe, White & Mahogany - 7 Inch",FootJoy,Multicolor,396.65,Men's,USD,2016-11-09
8,AVpfK0lxLJeJML4332mW,Nocona Ksu Branded Men  Square Toe Leather Brown Western Boot,Nocona,Brown,390.98,Men's,USD,2016-11-09
9,AVpf_52K1cnluZ0-uxxs,Tod's Men's Suede Mocassino Moda Bosto Loafer Shoes Brown,Tod's,Brown,385.0,Men's,USD,2017-01-11
10,AVpe6e7QilAPnD_xQvoC,Winter Lined Garden Shoe Sandals Case of 48,DDI,Multicolor,374.11,Men's,USD,2016-11-09
11,AVpe43x3ilAPnD_xQI1w,Fizik Men's R1 Uomo Road Cycling Shoes,Fizik,WhiteWhite Mesh,326.34,Men's,USD,2015-09-02
12,AVpffYOfLJeJML43-HYL,Ferrini Western Boots Mens Cowboy Caiman Head Croc Chocolate 10493-09,Ferrini,Chocolate,285.94,Men's,USD,2016-11-05
13,AVpfXIk51cnluZ0-jYOG,Tod's Men's Leather Sandalo Infrad Sott Cuoio Fondo N Sandal Shoes Grey,Tod's,Grey,285.0,Men's,USD,2017-01-11
