Index,ID,Name,Brand,Colours,Gender,Price($),Currency,Date
1,AWpjC1khM263mwCq9tuU,NATURE BREEZE FF00 Women Over The Knee Mid High Block Heel Boots Full Size Small,Faux Suede,OLIVE,Women's,5000.0,USD,2019-04-27
2,AWpNgbUgJbEilcB6Ow6q,Puma Women's Fierce Core Ultra Magenta / White Ankle-High Rubber Basketball Shoe - 8M,Puma,Nrgy Peach ,Women's,5000.0,USD,2019-04-24
3,AWo0e3tNJbEilcB6MSCQ,Women's White Mountain Theo Winter Bootie,White Mountain,Black Suede,Women's,5000.0,USD,2019-04-19
4,AWouiCjvAGTnQPR7qHwi,Totes Women's Ruby Double Zip Boot,TOTES,Black,Women's,5000.0,USD,2019-04-18
5,AWo0jy3_0U_gzG0he0ZP,women's trotters below zero waterproof ankle boot,Trotters,Black Nubuck Waterproof Polyurethane,Women's,5000.0,USD,2019-04-19
6,AWpNdi3aM263mwCq8RWx,"PUMA Women's Tsugi Shinsei Evoknit Wn Sneaker, Black-Whisper White-Castor Gray, 6.5 M US",PUMA,White,Women's,5000.0,USD,2019-04-24
7,AWpDVVmnJbEilcB6OAkF,Puma Women's Ignite Evoknit Lo Black / Electric Purple Quiet Shade Ankle-High Running Shoe - 10M,PUMA,Nrgy Turquoise ,Women's,5000.0,USD,2019-04-22
8,AWo0iOobM263mwCq50tP,Alrisco Nature Breeze New Women Vickie-HI New Women Suede Slouchy Thigh High Boot,Nature Breeze,Black,Women's,5000.0,USD,2019-04-19
9,AWpjCjKRM263mwCq9tp4,women's steve madden capture open toe bootie,steve-madden,White,Women's,5000.0,USD,2019-04-27
10,AWpyg8JyAGTnQPR7wIev,women's softwalk sampson sneaker,SoftWalk,Black Knit Flexible Technical Fabric,Women's,5000.0,USD,2019-04-30
11,AWozsHuc0U_gzG0hekF4,women's a2 by aerosoles craftwork riding boot,Aerosoles,Black Faux Leather,Women's,1998.0,USD,2019-04-27
12,AWpjC_A8JbEilcB6QNF1,CAPE ROBBIN GD80 Women's Snug Fit Inside Zip Stretchy Block Heel Thigh High Boot,CAPE ROBBIN,DARK PURPLE,Women's,999.99,USD,2019-04-27
13,AWpxeywKM263mwCq-uSB,Tabitha Simmons Ginger Flesh Patent Shoes (37),Tabitha Simmons,Other,Women's,545.0,USD,2019-04-29
14,AWpIeaEfM263mwCq78AC,UGG Bailey Bow Tall II Women's Shoes Boots 1016434 Black,UGG,Black,Women's,383.26,USD,2019-04-23
15,AWoxI9NHAGTnQPR7qqIT,Asics Women's Gel-Superion Insignia Blue / Pink Glow Ice Green Ankle-High Running Shoe - 7M,Asics,Black ,Women's,374.17,USD,2019-04-19
16,AWo08BH3AGTnQPR7rIXZ,Lifestride Women's Dig Black Ankle-High Flat Shoe - 6M,Lifestride,White,Women's,346.65,USD,2019-04-19
17,AWo6Hjmy0U_gzG0hfzx-,women's a2 by aerosoles strole along ankle boot,Aerosoles,White,Women's,346.65,USD,2019-04-27
18,AWpx5SOVAGTnQPR7v_dq,Easy Street Womens Juno Faux Leather Ankle Boots,Easy Street,White,Women's,346.65,USD,2019-04-30
19,AVpij_dBilAPnD_xFV8S,Easy Street Natara Women WW Open-Toe Synthetic Blue Slingback Sandal,Easy Street,Gray,Women's,346.65,USD,2019-04-07
20,AWo0gyvCM263mwCq50Cl,Women's White Mountain Callaway Bootie,White Mountain,White,Women's,319.98,USD,2019-04-27
21,AWo9vQAd0U_gzG0hf8cv,women's aerosoles sparkle gladiator sandal,aerosoles,White,Women's,319.98,USD,2019-04-21
22,AWpteI0CJbEilcB6RDOg,Womens Easy Street Edison Low Bootie Loafers - Navy,Easy Street,White,Women's,319.98,USD,2019-04-27
23,AWo0fVFiAGTnQPR7q_r-,Women's White Mountain Callaway Bootie,White Mountain,White,Women's,319.98,USD,2019-04-27
24,AWpDX7LxAGTnQPR7svNT,Womens Easy Street Edison Low Bootie Loafers - Navy,Easy Street,White,Women's,319.98,USD,2019-04-27
25,AWpxb5gqAGTnQPR7v3iZ,Lifestride Women's Dig Black Ankle-High Flat Shoe - 6M,Lifestride,Inky Navy Polyurethane,Women's,319.98,USD,2019-04-19
26,AWpxgFEUJbEilcB6RN8I,Stuart Weitzman Nudist June Women's Sandals Flip Flops,Stuart Weitzman,Black,Women's,300.0,USD,2019-04-19
27,AWpjDXnp0U_gzG0hisSc,UGG Australia Women's Shaye Rain Boots,UGG,Blue,Women's,299.99,USD,2019-04-27
28,AWo0hKk9M263mwCq50M0,Women's L'Artiste by Spring Step Malag Boot,L'Artiste by Spring Step,Black Multi Leather,Women's,299.92,USD,2019-04-19
29,AWo0lLrNJbEilcB6MUJ7,Women's L'Artiste by Spring Step Malag Boot,L'Artiste by Spring Step,Orange Multi Leather,Women's,299.92,USD,2019-04-19
30,AWo_Sic5AGTnQPR7shAf,CORRAL Women's Tobacco Floral Overlay Embroidered Studs and Crystals Snip Toe Cowgirl Boots A3602 (9.5 B US),Corral,Tobacco,Women's,288.0,USD,2019-04-21
31,AWo0h15KM263mwCq50jO,"david tate women's avery 18 knee high boots, black calfskin, 7 ww",David Tate,Brown Calf,Women's,287.04,USD,2019-04-27
32,AWo0kFW_0U_gzG0he0b6,Women's L'Artiste by Spring Step Lovely Tall Boot,L'Artiste by Spring Step,Camel Multi Leather Combo,Women's,273.67,USD,2019-04-19
33,AWpi1QDO0U_gzG0himGG,UGG Bailey Button II Women's Shoes Boots 1016226 Fawn,UGG,Fawn,Women's,260.59,USD,2019-04-27
34,AWozx9gkJbEilcB6MFMD,Women's Spring Step Jaru Bootie,Spring Step,Black Leather,Women's,260.59,USD,2019-04-25
35,AWpxdk5DM263mwCq-tr-,Stuart Weitzman Womens Leather Flats Loafers,Stuart Weitzman,Blush Tripoli,Women's,258.7,USD,2019-04-25
36,AWo0fHnDM263mwCq5zSL,Women's L'Artiste by Spring Step Lovely Tall Boot,L'Artiste by Spring Step,Camel Multi Leather Combo,Women's,257.58,USD,2019-04-19
37,AWo0gbjD0U_gzG0hezMZ,Carlos By Carlos Santana Women's Axel Western Boot,Carlos,White,Women's,255.98,USD,2019-04-19
38,AWpd5-eU0U_gzG0hiVLx,CORRAL Women's Distressed Black Full Studded Snip Toe Cowgirl Boots C2791 (9.5 B(M) US),Corral,Black,Women's,253.5,USD,2019-04-26
39,AWo0gd-KAGTnQPR7rAL-,CORRAL Western Boots Womens Studded Harness 8.5 B Bronze C2932,Corral,Bronze,Women's,253.5,USD,2019-04-19
40,AWpT2vfKJbEilcB6PIpa,UGG Bailey Bow Tall II Women's Shoes Boots 1016434 Black,UGG,Chestnut,Women's,249.95,USD,2019-04-25
41,AWo0hwTQAGTnQPR7rA1v,"Women's SAS, Liberty Lace up Shoes",SAS,BLACK,Women's,249.93,USD,2019-04-19
42,AWozt2HEAGTnQPR7qxso,SAS Womens Me Too Leather Low Top Walking Shoes,SAS,White,Women's,246.79,USD,2019-04-19
43,AWpi1R4z0U_gzG0himG8,UGG Benson Women's Buckle Sheepskin Ankle Booties 1095151,UGG,Dove,Women's,245.26,USD,2019-04-27
44,AWpYj8jvJbEilcB6Pafo,Dan Post Women's PENNY Bronze Fashion Boots 9 M,Dan Post,Bronze,Women's,243.92,USD,2019-04-27
45,AWo0gNUaM263mwCq5zu-,Women's Diba True What To Do Riding Boot,Diba True,Off White Suede,Women's,238.95,USD,2019-04-19
46,AWo0fd-NM263mwCq5zbm,Women's Diba True What To Do Riding Boot,Diba True,Chocolate,Women's,238.95,USD,2019-04-19
47,AWo1YlMr0U_gzG0hfL0V,Women's Diba True What To Do Riding Boot,Diba True,Chocolate Leather,Women's,238.95,USD,2019-04-19
48,AWozzvseM263mwCq5moM,"Women's SAS, Delight High Heel Wedge Sandals",SAS,OLIVE,Women's,237.59,USD,2019-04-19
49,AWpi3iAlJbEilcB6QIsY,"SOREL Women's Joan of Arctic Wedge II Boots, Ash Brown, 7.5 M US",SOREL,Ash Brown,Women's,237.59,USD,2019-04-27
50,AWozvMZYJbEilcB6MEjX,"Women's SAS, Delight High Heel Wedge Sandals",SAS,BLACK,Women's,237.59,USD,2019-04-19
51,AWozyMdx0U_gzG0heltj,"Women's SAS, Delight High Heel Wedge Sandals",SAS,OLIVE,Women's,237.59,USD,2019-04-19
52,AWo0g9tdM263mwCq50HV,"trotters women's luxury boot, tan/cognac, 9.5 m us",catan,Black Croco,Women's,237.42,USD,2019-04-19
53,AWpx3xakAGTnQPR7v_ZL,women's carlos by carlos santana alexia knee high boot,Carlos,White,Women's,233.25,USD,2019-04-27
54,AWozvB000U_gzG0helAW,"Mizuno Women's Wave Prophecy 7 Running Shoe, Size In Color",Mizuno,BLACK-SILVER 9073,Women's,229.98,USD,2019-04-19
55,AWpYjIdsJbEilcB6PZ1O,Ahnu Sugar Peak Winter Boot - Women's,AARON,Black,Women's,229.98,USD,2019-04-27
56,AWpYipbXJbEilcB6PZXc,"david tate women's avery 18 knee high boots, black calfskin, 7 ww",David Tate,Black Calf,Women's,229.95,USD,2019-04-27
57,AWo0guxUAGTnQPR7rAUY,"david tate women's avery 18 knee high boots, black calfskin, 7 ww",David Tate,Brown Calf,Women's,229.95,USD,2019-04-27
58,AWpYiVe8JbEilcB6PZFH,"david tate women's avery 18 knee high boots, black calfskin, 7 ww",David Tate,Brown Calf,Women's,229.95,USD,2019-04-27
59,AWo0hpen0U_gzG0hezzr,"trotters women's luxury boot, tan/cognac, 9.5 m us",catan,White,Women's,229.92,USD,2019-04-19
60,AWo0hcNWAGTnQPR7rAq6,"trotters women's luxury boot, tan/cognac, 9.5 m us",catan,Black Croco,Women's,229.92,USD,2019-04-19
61,AWo0hJvBAGTnQPR7rAhx,"trotters women's luxury boot, tan/cognac, 9.5 m us",catan,Tan Suede,Women's,229.92,USD,2019-04-19
62,AWo08GtcAGTnQPR7rIZ9,"trotters women's luxury boot, tan/cognac, 9.5 m us",catan,Black Croco,Women's,229.92,USD,2019-04-19
63,AWougzRN0U_gzG0hd5vO,Old Gringo Womens Lynn Almond Toe Mid-Calf Cowboy Boots,Old Gringo,Blue,Women's,227.62,USD,2019-04-18
64,AWoufAMPJbEilcB6LYB8,Old Gringo Womens Yl 149 Almond Toe Mid-Calf Cowboy Boots,Old Gringo,Brass,Women's,227.62,USD,2019-04-18
65,AWo0VHw0AGTnQPR7q9T6,Cole Haan Womens Arden Grand Bootie Closed Toe Ankle Fashion Boots,Cole Haan,Black Leather,Women's,224.0,USD,2019-04-27
66,AWpIVM6lAGTnQPR7tE3p,Women's Vionic with Orthaheel Technology Ashby Loafer,Vionic,White,Women's,223.92,USD,2019-04-23
67,AWo9xixhM263mwCq6-nr,Women's Aerosoles Incentive Bootie,Aerosoles,Black Nubuck,Women's,223.6,USD,2019-04-21
68,AWo0hAOBJbEilcB6MTDb,Women's L'Artiste by Spring Step Lovely Tall Boot,L'Artiste by Spring Step,Navy Multi Leather Combo,Women's,222.32,USD,2019-04-19
69,AWpEY-jyJbEilcB6OLpW,Vasque Women's Eriksson GTX Burgundy Hiking Boot 7.5 W,Vasque,Red Mahogany,Women's,219.99,USD,2019-04-22
70,AWpElRX90U_gzG0hgv67,Vasque Women's Eriksson GTX Burgundy Hiking Boot 7.5 W,Vasque,Red Mahogany,Women's,219.99,USD,2019-04-22
71,AWpEYe8lJbEilcB6OLTv,Vasque Women's Eriksson GTX Burgundy Hiking Boot 7.5 W,Vasque,Red Mahogany,Women's,219.99,USD,2019-04-22
72,AWo0lnUB0U_gzG0he0oS,Women's Pleaser Bejeweled 3019RSF-7 Boot,Pleaser,Gold Metallic Synthetic-Gold,Women's,219.95,USD,2019-04-19
73,AWo9wewIM263mwCq6-IM,Women's Aerosoles Incentive Bootie,Aerosoles,White,Women's,215.0,USD,2019-04-21
74,AWpjG70EAGTnQPR7u6BQ,Women's L'Artiste by Spring Step Alivia Bootie,L'Artiste by Spring Step,Red Leather,Women's,214.65,USD,2019-04-27
75,AWozzeXVJbEilcB6MFdW,Women's Aerosoles Idealist Bootie,Aerosoles,Black Leather,Women's,213.13,USD,2019-04-19
76,AWpYjE-fM263mwCq86au,Women's Aerosoles Idealist Bootie,Aerosoles,Bone Leather,Women's,213.13,USD,2019-04-19
77,AWo9uaw5M263mwCq69Eg,"Womens Aerosoles Fifth Ave Mid Calf Boots, Black Suede",Aerosoles,White,Women's,210.45,USD,2019-04-21
78,AWo1Ms1sJbEilcB6MkdE,Coach Womens Moto Open Toe Ankle Fashion Boots,Coach,Black Suede,Women's,209.95,USD,2019-04-28
79,AWpDWXlkJbEilcB6OBMA,New Balance Women's Wvngo By Ankle-High Running Shoe - 7.5W,New Balance,Cb2,Women's,207.76,USD,2019-04-22
80,AWpxbIJkJbEilcB6RKuT,women's trotters major bootie,Trotters,White,Women's,206.92,USD,2019-04-19
81,AWo0fM7_AGTnQPR7q_om,women's trotters major bootie,Trotters,Black Microfiber,Women's,206.92,USD,2019-04-19
82,AWouj_aWAGTnQPR7qIpR,Women's Dan Post Boots Melba DP3515,Dan Post,Gold Leather,Women's,205.16,USD,2019-04-18
83,AWpIQm2WAGTnQPR7tCeO,Women's Vionic with Orthaheel Technology Ashby Loafer,Vionic,Tan Leopard Haircalf,Women's,204.35,USD,2019-04-23
84,AWo0HZnKM263mwCq5rjt,"Mizuno Women's Wave Prophecy 7 Running Shoe, Size In Color",Mizuno,BILLARD-PACIFIC 4APC,Women's,200.0,USD,2019-04-19
85,AWpT2eUSM263mwCq8pRQ,Stuart Weitzman Mitten Women's Boots,Stuart Weitzman,Topo,Women's,199.99,USD,2019-04-25
86,AWpYiX17M263mwCq85wx,CORRAL Women's Floral Embroidered Lamb Leather Cowgirl Boot Snip Toe Chocolate 10 M,Corral,Chocolate,Women's,199.99,USD,2019-04-27
87,AWo0ht05M263mwCq50fe,Women's L'Artiste by Spring Step Wonderful D'Orsay Shoe,L'Artiste by Spring Step,Red Multi Leather,Women's,199.92,USD,2019-04-19
88,AWpi9H7SJbEilcB6QMdq,Musse Cloud Womens Kylie Leather Closed Toe Ankle Fashion Boots,Musse Cloud,Black,Women's,199.33,USD,2019-04-27
89,AWpi6wByJbEilcB6QL0M,UGG Benson Women's Buckle Sheepskin Ankle Booties 1095151,UGG,Chipmunk,Women's,199.26,USD,2019-04-27
